,title,author,rating,pages,publisher,genre,series,author_followers,publish_date,ISBN
263,"AI Superpowers: China, Silicon Valley, and the New World Order",Kai-Fu Lee,4.18,,Houghton Mifflin,Nonfiction,0,220.0,2018-09-01,9781101986158
264,Ain't She Sweet,Marie Force,4.33,320,Berkley,Romance,0,5811.0,2016-04-26,9781984830173
265,Al Franken: Giant of the Senate,Al Franken,4.33,406,"Twelve/Hachette Book Group, Inc.(first published May 2017)",Nonfiction,0,605.0,2017-05-30,9780062082350
266,Alan Turing: The Enigma,Andrew Hodges,3.81,768,Princeton University Press(first published November 1st 1983),comments,0,87.0,2014-11-10,9781400069026
267,Alaskan Holiday,Debbie Macomber,3.59,256,Ballantine Books,Romance,0,12812.0,2018-10-02,9780062398086
268,Alexander Hamilton,Ron Chernow,4.23,818,Penguin Press,History,0,3160.0,2004-04-26,9781101902806
269,Ali Cross,James Patterson,4.05,320,jimmy patterson,Mystery,1,281236.0,2019-11-25,9780307271082
270,Ali: A Life,Jonathan Eig,4.47,640,Houghton Mifflin Harcourt,Biography,0,118.0,2017-10-03,9781501110320
271,Alice in the Country of Joker: Circus and Liars Game Vol. 7,QuinRose,4.06,192,Seven Seas,Sequential,0,373.0,2015-02-10,9780812995220
272,Alice Isn't Dead,Joseph Fink,3.67,336,Harper Perennial,Horror,0,1426.0,2018-10-30,9781250061577
273,Alien Superstar,Lin Oliver,3.69,240,Harry N. Abrams,Humor,0,40.0,2019-10-01,9780545208857
274,All American Boys,Jason Reynolds,4.29,316,Atheneum/Caitlyn Dlouhy Books,Young,0,3879.0,2015-09-29,9781524743444
275,All Are Welcome,Alexandra Penfold,4.42,44,Alfred A. Knopf Books for Young Readers,Childrens,0,12.0,2018-07-10,9780142410707
276,"All By Myself, Alone",Mary Higgins Clark,3.64,321,Simon  Schuster,Mystery,1,9392.0,2017-04-04,9781616201340
277,All Fall Down,Ally Carter,3.83,310,Scholastic Press,Young,1,13427.0,2015-01-20,9781250133731
278,All I Ever Need Is You,Bella Andre,4.25,,Bella Andre(first published April 2nd 2015),Romance,1,55856.0,2015-04-07,9781368045704
279,All I Want,Jill Shalvis,4.13,297,Berkley,Romance,1,10472.0,2015-10-06,9781484799673
280,All Joy and No Fun: The Paradox of Modern Parenthood,Jennifer Senior,3.86,320,Ecco,Parenting,0,31.0,2014-01-28,9781595148032
281,All the Bright Places,Jennifer Niven,4.17,378,Knopf,Young,0,9397.0,2015-01-06,9781481497589
282,All the Crooked Saints,Maggie Stiefvater,3.85,320,Scholastic Press,Fantasy,0,129671.0,2017-10-10,9781635651089
283,All the Light We Cannot See,Anthony Doerr,4.33,531,Scribner(first published May 2014),comments,0,9719.0,2014-05-06,9780061547317
284,All the Single Ladies: Unmarried Women and the Rise of an Independent Nation,Rebecca Traister,4.05,339,Simon  Schuster,Nonfiction,0,787.0,2016-03-01,9780525426943
285,All the Ugly and Wonderful Things,Bryn Greenwood,4.07,365,St. Martin's Press,Fiction,0,2626.0,2016-08-09,9780525557623
286,All the Way: My Life in Four Quarters,Joe Namath,3.62,240,"Little, Brown and Company",Sports,0,27.0,2019-05-21,9780307452436
287,All We Ever Wanted,Emily Giffin,3.87,334,Ballantine Books,Fiction,0,16170.0,2018-06-26,9781607102045
288,All Your Perfects,Colleen Hoover,4.29,320,Atria Books,Romance,0,327120.0,2018-07-17,9780553522310
289,"All-American Murder: The Rise and Fall of Aaron Hernandez, the Superstar Whose Life Ended on Murderers' Row",James Patterson,3.82,400,"Little, Brown and Company",Nonfiction,0,281254.0,2018-01-22,9781451635119
290,Allies,Alan Gratz,4.28,325,Scholastic Press,Historical,0,1093.0,2019-10-15,9780735213234
291,Ally: My Journey Across the American-Israeli Divide,Michael B. Oren,4.14,432,Random House,Cultural,0,87.0,2015-06-23,9781506700632
292,Almost Everything: Notes on Hope,Anne Lamott,3.81,208,Riverhead Books,Nonfiction,0,6499.0,2018-10-16,9780307756961
293,Almost Interesting: The Memoir,David Spade,3.7,245,Dey Street Books,Nonfiction,0,49.0,2015-10-27,9781451687477
294,"Alone: Britain, Churchill, and Dunkirk: Defeat into Victory",Michael Korda,4.1,,Audible Studios on Brilliance Audio(first published September 19th 2017),History,0,114.0,2017-12-12,9781454709107
295,Alone at Dawn: Medal of Honor Recipient John Chapman and the Untold Story of the World's Deadliest Special Operations Force,Dan Schilling,4.36,352,Grand Central Publishing,Nonfiction,0,13.0,2019-06-25,9780307461469
296,Alone In the Dark,Karen      Rose,4.21,721,Signet(first published November 5th 2015),Romance,1,3446.0,2016-02-02,9780147518361
297,Alone on the Wall,Alex Honnold,3.85,256,W.W. Norton(first published November 5th 2015),Nonfiction,0,136.0,2015-11-09,9780307267474
298,"Altamont: The Rolling Stones, the Hells Angels, and the Inside Story of Rock's Darkest Day",Joel Selvin,4.17,358,Dey Street Books(first published August 15th 2016),Music,0,49.0,2016-08-16,9780553513349
299,Altered Carbon,Richard K. Morgan,4.05,,"Tantor Media, Inc.(first published February 28th 2002)",Add,1,4312.0,2006-12-12,9780061959165
300,Alternate Side,Anna Quindlen,3.34,304,Random House,Fiction,0,3010.0,2018-03-20,9781626363052
301,EveryDayCook,Alton Brown,4.25,304,Ballantine Books,Food,0,446.0,2016-09-27,9780061890956
302,Altruism: The Power of Compassion to Change Yourself and the World,Matthieu Ricard,4.28,864,"Little, Brown and Company(first published January 1st 2013)",Nonfiction,0,486.0,2015-06-02,9780374104092
303,Always a Cowboy,Linda Lael Miller,4.0,384,HQN Books,Romance,0,2457.0,2016-08-30,9780062359988
304,Always Dakota,Debbie Macomber,4.08,384,Mira(first published 2000),Romance,0,12812.0,2016-06-28,9780385756204
305,"Always Hungry?: Conquer Cravings, Retrain Your Fat Cells, and Lose Weight Permanently",David Ludwig,3.72,384,Grand Central Life & Style(first published December 29th 2015),Nonfiction,0,22.0,2016-01-05,9780062956583
306,Always Look on the Bright Side of Life: A Sortabiography,Eric Idle,3.87,290,Crown Archetype,Nonfiction,0,219.0,2018-10-02,9781612198248
307,"Am I There Yet? The Loop-de-Loop, Zigzagging Journey to Adulthood",Mari Andrew,4.0,192,Clarkson Potter Publishers,Sequential,0,93.0,2018-03-27,9781328631343
308,Amal Unbound,Aisha Saeed,4.22,240,Nancy Paulsen Books,Childrens,0,612.0,2018-05-08,9781460396612
309,Amazing Fantastic Incredible: A Marvelous Memoir,Stan Lee,3.96,192,Gallery Books(first published October 6th 2015),Sequential,0,1697.0,2015-11-03,9780399181191
310,Amazing Moms: Love and Lessons From the Animal Kingdom,Rachel Buchholz,3.67,96,National Geographic,Animals,0,1.0,2016-03-29,9780062364364
311,Ambush,James Patterson,3.93,303,"Little, Brown and Company",Mystery,1,281269.0,2018-10-08,9780373789085
312,America Again: Re-becoming the Greatness We Never Weren't,Stephen Colbert,3.88,240,Grand Central Publishing,Humor,0,1186.0,2012-10-02,9780812989403
313,America Before: The Key to Earth's Lost Civilization,Graham Hancock,4.15,608,St. Martin's Press,History,0,1775.0,2019-04-23,9780770434458
314,"America's Bitter Pill: Money, Politics, Back-Room Deals, and the Fight to Fix Our Broken Healthcare System",Steven Brill,3.99,455,Random House,Nonfiction,0,41.0,2015-01-05,9780062409959
315,America's First Daughter,Stephanie Dray,4.22,624,William Morrow Paperbacks,Historical,0,2117.0,2016-03-01,9781101987971
316,"America's Great Hiking Trails: Appalachian, Pacific Crest, Continental Divide, North Country, Ice Age, Potomac Heritage, Florida, Natchez Trace, Arizona, Pacific Northwest, New England",Karen Berger,4.47,336,Rizzoli,Travel,0,6.0,2014-09-23,9780062330161
317,"America's Original Sin: Racism, White Privilege, and the Bridge to a New America",Jim Wallis,4.13,238,Brazos Press,Nonfiction,0,105.0,2016-01-19,9781442472426
318,America's Reluctant Prince,Steven M. Gillon,3.86,464,Dutton,Biography,0,22.0,2019-07-09,9780425251263
319,American Assassin,Vince Flynn,4.23,448,Atria Books,comment,1,4674.0,2010-10-12,9780451488008
320,American Born Chinese,Gene Luen Yang,3.88,233,Square Fish(first published September 1st 2006),Sequential,0,1940.0,2008-12-23,9780451491657
321,American Carnage: On the Front Lines of the Republican Civil War and the Rise of President Trump,Tim Alberta,4.15,688,Harper,Politics,0,14.0,2019-07-16,9780451488251
322,American Dreamer: My Life in Fashion & Business,Tommy Hilfiger,3.83,352,Ballantine Books(first published March 15th 2016),Biography,0,4.0,2016-11-01,9780451491671
323,American Gods,Neil Gaiman,4.11,541,HarperCollins e-books,Fantasy,0,196448.0,,9781250212092
324,"American Heiress: The Wild Saga of the Kidnapping, Crimes and Trial of Patty Hearst",Jeffrey Toobin,3.87,368,Doubleday(first published April 2nd 2016),Nonfiction,0,463.0,2016-08-02,9780307345837
325,American Housewife,Helen Ellis,3.39,185,Doubleday,Short,0,449.0,2016-01-12,9780786965755
326,American Hunter: How Legendary Hunters Shaped America,Willie Robertson,3.77,272,Howard Books(first published October 6th 2015),Nonfiction,0,61.0,2015-10-27,9780062370006
327,American Kingpin: The Epic Hunt for the Criminal Mastermind Behind the Silk Road,Nick Bilton,4.32,328,Portfolio,Nonfiction,0,1129.0,2017-05-02,9780393246186
328,"American Lightning: Terror, Mystery, the Birth of Hollywood & the Crime of the Century",Howard Blum,3.5,199,Broadway Books(first published January 1st 2008),History,0,147.0,2008-09-16,9780316199995
329,American Like Me: Reflections on Life Between Cultures,America Ferrera,4.35,309,Gallery Books,Nonfiction,0,42.0,2018-09-25,9781626720138
330,American Moonshot: John F. Kennedy and the Great Space Race,Douglas Brinkley,4.18,576,Harper,History,0,207.0,2019-04-02,9781630060589
331,American Pharoah: The Untold Story of the Triple Crown Winner's Legendary Rise,Joe Drape,3.5,304,Hachette Books,Nonfiction,0,64.0,2016-04-26,9781501125997
332,American Predator: The Hunt for the Most Meticulous Serial Killer of the 21st Century,Maureen Callahan,4.1,285,Viking,Crime,0,52.0,,9781250051981
333,American Radical: Inside the World of an Undercover Muslim FBI Agent,Tamer Elnoury,4.33,347,Dutton Books,Nonfiction,0,22.0,2017-10-23,9780525433675
334,American Royals,Katharine McGee,3.85,448,Random House Books for Young Readers,Young,1,1891.0,2019-09-03,9780553448122
335,American Sniper: The Autobiography of the Most Lethal Sniper in U.S. Military History,Chris Kyle,4.0,381,William Morrow,Nonfiction,0,390.0,2012-01-03,9781368012355
336,American Ulysses: A Life of Ulysses S. Grant,Ronald C. White Jr.,4.5,864,Random House,Biography,0,93.0,2016-10-04,9781368013840
337,"American Wife: Love, War, Faith, and Renewal",Taya Kyle,4.26,329,William Morrow(first published May 1st 2015),Nonfiction,0,66.0,2015-05-04,9781501130441
338,American Wolf,Nate Blakeslee,4.38,320,Broadway Books(first published October 17th 2017),Nonfiction,0,76.0,,9781524767068
339,Americanah,Chimamanda Ngozi Adichie,4.3,477,Alfred A. Knopf(first published May 13th 2013),Fiction,0,23310.0,2013-05-14,9780345545961
340,Amish Confidential,"""Lebanon"" Levi Stoltzfus",3.55,288,Gallery Books,Nonfiction,0,2.0,2015-03-31,9781982106980
341,Among the Ten Thousand Things,Julia Pierpont,2.83,336,Random House,Fiction,0,146.0,2015-07-07,9780553392951
342,Among the Wicked,Linda Castillo,4.19,306,Minotaur Books,Mystery,0,3291.0,2016-07-12,9781421576077
343,The Cloud Searchers,Kazu Kibuishi,4.36,203,Graphix,Sequential,1,2290.0,2010-09-01,9781421583228
344,An Absolutely Remarkable Thing,Hank Green,4.03,343,Dutton,Fiction,1,4445.0,2018-09-25,9781421583235
345,An Abundance of Katherines,John Green,3.59,228,Speak(first published September 21st 2006),Young,0,267607.0,,9781421583242
346,An American Marriage,Tayari Jones,3.97,308,Algonquin Books(first published January 29th 2018),Fiction,0,8971.0,2018-02-06,9781421576091
347,An Anonymous Girl,Greer Hendricks,3.84,375,St. Martin's Press,Thriller,0,3884.0,2019-01-08,9781421576107
348,An Elephant & Piggie Biggie Volume 2!,Mo Willems,4.78,320,Hyperion Books for Children,Childrens,0,3139.0,2019-09-17,9781421576114
349,An Elephant & Piggie Biggie!,Mo Willems,4.63,320,Hyperion Books for Children,Childrens,0,3139.0,2017-05-02,9781421576121
350,An Ember in the Ashes,Sabaa Tahir,4.3,446,Razorbill,Fantasy,0,20630.0,2015-04-28,9781421576138
351,An Enchantment of Ravens,Margaret  Rogerson,3.66,300,Margaret K. McElderry Books,Fantasy,0,3694.0,2017-09-26,9781421582801
352,An Inconvenient Sequel: Truth to Power,Al Gore,3.73,320,Rodale Books,Nonfiction,0,258.0,2017-07-25,9781421582818
353,Infinity of Nations: Art and History in the Collections of the National Museum of the American Indian,National Museum of the American Indian,5.0,320,Smithsonian,,0,2.0,2010-10-12,9780393609394
354,An Obvious Fact,Craig Johnson,4.24,317,Viking(first published September 6th 2016),Mystery,1,3025.0,2016-09-13,9780425258910
355,An Unwanted Guest,Shari Lapena,3.75,290,Pamela Dorman Books(first published July 26th 2018),Mystery,0,6082.0,2018-08-07,9780525953005
356,"Anatomy of an Epidemic: Magic Bullets, Psychiatric Drugs, and the Astonishing Rise of Mental Illness in America",Robert  Whitaker,4.17,282,Broadway Books(first published January 1st 2010),Psychology,0,102.0,2010-04-13,9781590514887
357,Anatomy of Strength Training: The Five Essential Exercises,Pat Manocchia,4.17,160,Thunder Bay Press,Health,0,1.0,2010-12-01,9780765325587
358,And I Darken,Kiersten White,3.87,475,Delacorte Press,Fantasy,1,10074.0,2016-06-28,9780385523233
359,And Then All Hell Broke Loose: Two Decades in the Middle East,Richard Engel,4.2,241,"Simon & Schuster, Inc.(first published February 2016)",Nonfiction,0,113.0,2016-02-09,9780061702587
360,Andrew Jackson and the Miracle of New Orleans: The Battle That Shaped America's Destiny,Brian Kilmeade,4.04,256,Sentinel,History,0,282.0,2017-10-24,9780735211292
361,"Angel Catbird, Volume 1",Margaret Atwood,2.76,116,Dark Horse,Sequential,1,55586.0,2016-09-06,9781632362599
362,Angel Falls,Kristin Hannah,3.9,432,Ballantine Books(first published 2000),Fiction,0,115920.0,2010-06-23,9781612620251
363,Angels Walking,Karen Kingsbury,4.2,384,Howard Books(first published September 2014),Add,1,5999.0,2014-09-02,9781632363091
364,"Animal Kingdom: Color Me, Draw Me",Millie Marotta,4.25,96,Lark Crafts(first published August 14th 2014),Colouring,0,18.0,2014-09-23,9781612629810
365,Animal Wise: The Thoughts and Emotions of Our Fellow Creatures,Virginia Morell,4.11,304,Crown(first published January 1st 2013),Nonfiction,0,46.0,2013-02-26,9781632362254
366,Extreme Coloring: The Ultimate Search-and-Find Coloring Book,Kerby Rosanes,4.43,96,Plume(first published June 1st 2015),Add,0,63.0,2015-10-27,9781632362605
367,Ann Tenna,Marisa Acocella Marchetto,2.96,240,Knopf,Sequential,0,14.0,2015-09-01,9781612629414
368,Anna and the Swallow Man,Gavriel Savit,3.68,232,Knopf Books for Young Readers,Historical,0,113.0,2016-01-26,9781612629438
369,"Anne Frank: The Book, The Life, The Afterlife",Francine Prose,4.13,336,HarperCollins e-books(first published September 16th 2009),Nonfiction,0,468.0,2009-09-29,9781101934852
370,Anne Perry and the Murder of the Century,Peter Graham,3.52,341,Skyhorse Publishing(first published 2011),Crime,0,10.0,,9781524720964
371,"Annie, Between the States",L.M. Elliott,4.1,544,Katherine Tegen Books(first published October 26th 2004),Historical,0,188.0,2009-03-31,9781611450118
372,Annihilation,Jeff VanderMeer,3.68,195,"Farrar, Straus and Giroux",Science,0,7776.0,2014-02-04,9781588362445
373,Another Brooklyn,Jacqueline Woodson,3.86,177,Amistad,Fiction,0,4856.0,2016-08-09,9781101967805
374,Another Day,David Levithan,3.62,327,Alfred A. Knopf Books for Young Readers(first published July 30th 2015),Young,1,17780.0,2015-08-25,9780399563300
375,Anthony Bourdain Remembered,CNN,4.53,208,Ecco,Nonfiction,0,1.0,2019-05-28,9781506700229
376,Anthony Bourdain: The Last Interview: And Other Conversations,Anthony Bourdain,3.96,208,Melville House Publishing,Nonfiction,0,3353.0,2019-08-29,9781616557904
377,Antoni in the Kitchen,Antoni Porowski,4.11,272,Rux Martin/Houghton Mifflin Harcourt,Food,0,124.0,2019-09-09,9781616558383
378,Any Day Now,Robyn Carr,4.12,400,MIRA,Romance,0,5756.0,2017-04-18,9781616557614
379,Any Dream Will Do,Debbie Macomber,3.98,310,Ballantine Books,Romance,0,12810.0,2017-08-08,9781616555504
380,Anyone but Ivy Pocket,Caleb Krisp,3.9,400,Greenwillow Books(first published April 9th 2015),Childrens,0,45.0,2015-04-21,9781419735042
381,Anything for You,Kristan Higgins,4.05,410,HQN Books,Romance,1,8454.0,2015-12-29,9780785190950
382,Anything Is Possible,Elizabeth Strout,3.75,254,Random House,Fiction,1,4781.0,2017-04-25,9780785190400
383,#IMomSoHard,Kristin Hensley,4.11,288,HarperOne,Add,0,140.0,2019-04-02,9781451664164
384,#NeverAgain: A New Generation Draws the Line,David  Hogg,4.18,165,Random House Trade,Nonfiction,0,23.0,2018-06-19,9780804140041
385,"F*ck, That's Delicious: An Annotated Guide to Eating Well",Action Bronson,4.17,192,Harry N. Abrams,Food,0,13.0,2017-09-12,9780374279929
386,10-Day Green Smoothie Cleanse: Lose Up to 15 Pounds in 10 Days!,J.J. Smith,4.12,167,Adiva Publishing(first published February 1st 2014),Health,0,60.0,2014-02-09,9781101993040
387,,,,,,,0,,,9780763669614
388,12: The Inside Story of Tom Brady's Fight for Redemption,Casey Sherman,3.93,320,"Little, Brown and Company",Sports,0,49.0,2018-07-31,9780545813877
389,15th Affair,James Patterson,4.09,351,"Little, Brown and Company",Mystery,1,281257.0,2016-05-02,9781982104030
390,#IMomSoHard,Kristin Hensley,4.11,288,HarperOne,Add,0,140.0,2019-04-02,9781524731656
391,#IMomSoHard,Kristin Hensley,4.11,288,HarperOne,Add,0,140.0,2019-04-02,9780062282712
392,#IMomSoHard,Kristin Hensley,4.11,288,HarperOne,Add,0,140.0,2019-04-02,9781596436695
393,#IMomSoHard,Kristin Hensley,4.11,288,HarperOne,Add,0,140.0,2019-04-02,9780316320429
394,#IMomSoHard,Kristin Hensley,4.11,288,HarperOne,Add,0,140.0,2019-04-02,9780316320399
395,#IMomSoHard,Kristin Hensley,4.11,288,HarperOne,Add,0,140.0,2019-04-02,9780062857699
